Grapevine cultivar	Berry Number_2011	Berry Number_2012	Berry Number_2013	Berry Number_2015	Berry Number_2016	Berry Number_2017	Flower Number_2015	Flower Number_2016	Flower Number_2017	Fruitset_2015	Fruitset_2016	Fruitset_2017	Millerandage Index_2015	Millerandage Index_2016	Millerandage Index_2017	Coulure Index_2015	Coulure Index_2016	Coulure Index_2017	Seed Number_2011	Seed Number_2012	Seed Number_2013
ESP217_VIVC122_5056	106.9	167.3	70.9	129.75	149.75	108.4	307.71	785.3	651.6	0.37	0.22	0.18	2.37	1.78	0.88	5.58	7.64	8.18	1.63	2.6	1.79
ESP217_VIVC3509_5057	237.9	169	NA	94.2	NA	NA	763.25	NA	NA	0.14	NA	NA	1.11	NA	NA	8.61	NA	NA	0	0	NA
ESP217_VIVC13075_5058	95.1	129.4	114.7	127.5	165	117.11	291.9	630.22	545.89	0.36	0.31	0.25	0.36	2.3	2.33	6.38	6.6	7.2	1.88	2.55	1.68
ESP217_VIVC4985_5059	100.1	79.3	61.33	121.75	180.38	107.4	832.82	972.88	853.1	0.13	0.2	0.14	1.86	1.78	1.28	8.56	7.75	8.56	2.52	3.26	3.41
ESP217_VIVC5517_5060	93.3	56.75	61.6	NA	87.44	75.2	NA	360.67	422.5	NA	0.27	0.19	NA	1.13	1.06	NA	7.27	8.01	2.67	2.83	2.03
ESP217_VIVC12949_5061	66.9	89.8	NA	114.6	166	81.67	283.42	596	327.44	0.41	0.25	0.25	4.39	1.63	2.3	2.79	7.01	6.76	2.47	2.45	NA
ESP217_VIVC9290_5063	NA	210	212.3	178.6	278.2	253.7	521.34	346.6	502.4	0.37	0.82	0.53	1.28	0.24	0.5	6.07	1.78	4.69	NA	2.9	2.05
ESP217_VIVC2520_5064	118.1	94.1	95.5	111.6	161.43	121.38	417.72	894.7	713.5	0.28	0.15	0.22	0.49	1.84	2.34	7.19	8.45	7.78	1.45	1.31	1.37
ESP217_VIVC4169_5068	162.6	95.3	178.3	145	230.5	181.5	264.27	402.2	395.1	0.64	0.61	0.56	1.41	0.61	1.88	3.61	3.9	4.34	3.09	2.36	1.9
ESP217_VIVC4183_5070	113.7	64.4	122.8	186.2	206.22	182.2	224.6	389.1	312.2	0.84	0.53	0.59	0.47	1.28	0.95	1.3	3.94	3.55	2.3	2	1.69
